Question,Answer
asking about new verities of rice crop,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
information regarding to seed rate of turmeric,WEATHER IS CLOUDY BUT NO CHANCE OF RAIN FALL TODAY .
information regarding to suitable varieties of cotton,PLEASE DIAL *491*103# TO ACTIVATE USSD ON YOUR PHONE.
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,CONTROL OF FUNGUS IN BRINJAL SPRAY 500G SAAF IN 200 LTR WATER .
CHANCES OF RAINFALL IN DIST TODAY?,WEATHER IS CLoudy AND NO CHANCES OF RAINFALL TODAY.AND TOMORROW THERE ARE SOME CHANCES OF RAINFALL
WEATHER IN AMRITSAR?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,"FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP,PLS SPRAY 500GM M-45 IN 150LITRE WATER."
how to seed treatment of maize ?,no chance of rainfall today.
information regarding cows?,some clouds and chances of light rainfall.
what is the dose of 24 D in sugarcane?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR -124(NEW VARIETY-2015) ,PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
how to control of weed of sugarcane ?,MASH-1008 AND MASH-218 ARE THE VARIETIES OF SUMMER MASH.
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY 400ML MALATHION IN 100LT WATER/ACRE.
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,CONTROL OF CATERPILLER IN BARSEEM SPRAY 60 ML TRACER IN 100 LTR WATER .
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,CONTROL OF CATERPILLER IN BARSEEM SPRAY 60 ML TRACER IN 100 LTR WATER .
WHAT IS THE YIELD OF PR 122?,CONTROL OF CATERPILLER IN BARSEEM SPRAY 60 ML TRACER IN 100 LTR WATER .
what is the contact number of pau?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY.
information regarding to control of catterpiller in tomato,no chance of rainfall today.
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,CONTROL OF FRUIT DROPING IN CITRUS SPRAY 5ML PLANOFIX IN 25 LTR WATER
information regarding control of weed in sugarcane?,Mostly cloudy and chances of light rainfall.
flower droping in citrus?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL ON TOMORROW AND SATURDAY&SUNDAY.
INFORMATION CONTROL OF TERMITE IN WHEAT?,rainfall is expected in next two days.
information regarding to control of seed rate of fodder maize,WEATHER IS CLOUDY AND SAME CHANCES OF RAINFALL IN NEXT 2 DAYS
flower droping problem in citrus,CHANCE OF A LITTLE RAINFALL TONIGHT.
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,"Mostly cloudy, chances of light rainfall for today."
information regarding to seed rate fodder maize,WEATHER IS CLOUDY AND NO CHANCE OF RAINFALL .
NEW VARIETIES OF RICE?,"FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP,PLS SPRAY 500GM M-45 IN 150LITRE WATER."
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,WEATHER IS CLOUDY AND NO CHANCE OF RAINFALL .
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,WETHER REMAIN PARTIALLY CLOUDY AND SUNNY TODAY.
information regarding to control of jassid in wheat,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFAL TODAY
wheather in amitsar?,WEATHER REMAINS CLEAR TODAY.
ASKING ABOUT WEATHER FORCASTING?,WEATHER IS CLOUDY AND NO CHANCE OF RAINFALL .
cont no of pau?,"THE FERT. DOSE AT THE TIME OF SUGARCANE PLANTING-DAP-75KG,MOP-40KG & UREA-40KG."
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
wheather of dist today?,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,WEATHER REMAIN PARTIALLY SUNNY AND CLOUDY TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL ON TOMORROW AND SATURDAY&SUNDAY.
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SOME CHANCE OF RAINFALL TODAY .
information regarding dose of urea in onion?,WEATHER IS CLOUDY & SOME CHANCES OF RAINFALL TODAY.
information regarding weather condition?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
INFORMATION REGARDING CHANCE OF RAINFALL?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
information regarding to control of jassid in pumpkin,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND SOME CHANCE OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
information regarding to control of collar rot in okra,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,WEATHER IS CLOUDY AND SAME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
WHAT IS THE DATE OF SOWING OF RICE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,WEATHER REMAIN A LITTLE CLOUDY TODAY.
problem of flower droping in chilli?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,FOR THE CONTROL OF HAIRY CATERPILLAR IN BARSEEM CROP PLS SPRAY 50ML CHLORANTRANILIPROLE AND 200ML INDOXACARD PER ACER.
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL ON TOMORROW AND SATURDAY&SUNDAY.
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,Mostly sunny and no chance of rainfall.
VARRITIES OF RICE?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"FOR THE CONTROL OF PURPLE BLOTCH DISEASE IN ONION(PYAJ) CROP,PLS SPRAY 500GM M-45 IN 150LITRE WATER."
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?","FOR THE CONTROL OF DAMPING OFF DISEASE IN ONION(PYAJ),PLS SPRAY 250GM BAVISTIN IN 100LITRE WATER/ACRE."
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,NO CHANCE OF RAINFALL TODAY.
how are weather today?,"FOR THE CONTROL OF SHOOT BORER IN FORAGE MAIZE(CHARE WALI MAKKI) CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
Qury-weather of amritsar ??,Spray 400 ml. Ekalux 25EC in 100 lt. of water per acre.
information regarding to new variety of rice?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY .
CHANCE OF RAINFALL TODAY.,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,WEATHER IS CLEAR NO CHANCE OF RAINFALL TODAY.
control of catterpillar ?,"FOR THE CONTROL OF WEEDS IN SUGARCANE CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
how are weather today?,WEATHER IS CLEAR NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING NEW VARIETIES OF RICE?,"spray 200 ml tilt , 200 litre water / acre ."
# INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,WEATHER IS CLEAR NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS DRY AND THERE IS NO CHANCES OF RAINFALL.
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,THE SOWING TIME OF TURMERIC IS END APRIL .
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,to control fruit borer in tomato spray decis 2.8 Ec 160ml/acre/100 ltr water.
ASKING ABOUT WEATHER FORCASTING?,Spray 160 ml. Decis 2.8EC in 100 lt. of water per acre.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,to control of flower falling in pomegranate spray planofix 1ml/4 ltr water.
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,"FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN WHEAT CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TRIADIMEFON 25% WP(BAYLETON)-200GM OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
INFORMATION REGARDINDING TRAINING?,WEATHER IS LIGHT CLOUDY NO CHANCE OF RAIN FALL TODAY .
information regarding nursery sowing time of paddy ?,WEATHER IS LIGHT CLOUDY NO CHANCE OF RAIN FALL TODAY .
YELLOWING OF LEAVES OF GUAVA?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 80GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
WHAT IS THE VARIETY OF MAIZE?,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY
information regarding planting time of brinjal?,WEATHER IS CLOUDY NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING GOAT FARMING?,"FOR THE CONTROL OF CATERPILLER IN WHEAT CROP,PLS 600ML EKALUX PER ACER."
varrities of rice?,no chances of rain in today and next day
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,no chances of rain in today and next day
CHANCES OF RAINFALL ?,"WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
 
 ???? ???????? ??? ????? ??? ??? ?? ???? ??? ?? ."
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,no chances of rain in today and next day
INFORMATION REGARDING FOR THE DISEASE OF COW?,""" WEATHER IS CLEAR NO CHANCE OF RAINFALL .
 
 """
INFORMATION REGARDING NEW VARIETIES OF RICE?,"""WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
 
 """
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
 
 ??? ?????? ???? ? ??????? ????? ?? ???? ?? ??? ??????? ??? ?? ??"
information regarding animals?,Mostly sunny and no chance of rainfall.
how are weather today?,"""WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
 
 """
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,WEATHER IS CLOUDLY NO CHANCE OF RAIN FALL TODAY .
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),Mostly sunny and no chance of rainfall.
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,Spray 500 gm. Antracol in 200 lt. of water per acre.
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE CROP?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?",WEATHER IS CLEAR AND NO CHANCES OF RAINFALL IN NEXT 3 days
information regarding to catterpiller?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,Sunny to partly cloudy and no chance of rainfall.
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,CONTACT ON 0161 2414011 .
CONTACT NO. OF ANIMAL HUSBANDRY?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,weather is clear and no chance of rainfall today
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,"INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE CROP?
 
 FOR THE CONTROL OF WEEDS IN SUGARCANE CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
ASKING ABOUT VERITIES OF CUCUMBER,"FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP,PLS SPRAY 200ML INDOXACARB 15.8%EC(AVANT) IN 100 LITRE WATER OR 50ML CHLORANTRANILIPROLE 18.5%ML(CORAGEN) IN 150LITRE WATER PER ACRE."
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
information regarding dose of urea in chilli?,contect no of pau ludhiana 0161-2401960
IMPROVED VAR. OF RICE?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124,PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING POLTRY FARMING?,WEATHER REMAIN CLEAR TODAY.
INFORMATION REGARDING NEW VARIETIES OF RICE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
#: INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,DOSE OF UREA IN AN ACRE OF CHILLIES IS 55 KG.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,WEATHER IS DRY AND THERE IS NO CHANCES OF RAINFALL
INFORMATION RREGARDING CONTROL OF FLOWER DROPING IN POMEGRANATE?,SPRAY 50ML CORAGEN IN 100LT WATER/ACRE.
INFORMATION REGARDING SEED RATE OF RICE CROP?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
GUAVA BORER PROBLEM?,WEATHER REMAIN CLEAR TODAY.
WHAT IS THE YIELD OF BASMATIS NEW VARIETIES?,"FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP,PLS SPRAY KOCIDE(COPPER HYDRO XICHLORIDE)-500GM+2 PCS STREPTOCYCLENE IN 200LITRE WATER/ACRE."
INFORMATION REGARDING TO THE SOWING TIME OF SUMMER MOONG,NO CHANCE OF RAINFALL TODAY.
WHICH IS THE NEW VARIETY OF AMERICAN COTTON?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING VARIETIES OF RICE CROP ?,WEATHER IS CLEAR AND CHANCES RAINFALL .
INFORMATION REGARDING NEW VARIETIES OF RICE?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
control of leaf borer in radish?,WEATHER IS CLOUDY NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"SPRAY 200ML, AWANT OR 50ML CORAGAN IN 150 LTR OF WATER PER ACRE ."
information regarding catterpiller in barseem?,"PR -124, PR-123, PR-122, PR-121, PR-118, PR-114, PR-111 AND PR-115, PR-113 ARE THE VARIETIE OF PADDY."
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,SPRAY 1ML PLANOFIX IN 4 LTR WATER .
information regarding new varieties of paddy ?,FOR THE SUITABLE VEARITY OF FODDER MAKKA IS- J 1006.
WHAT IS THE DURATION OF GARLIC?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
information regarding new varieties of paddy ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLEAR AND CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,CONTROL WHITEFLY & APHIDS (THE VIRUS VECTOR) BY SPRAYING OF 250ML ACEPHATE IN 100LITRE WATER/ACRE IN CHILLI(MIRCH).
information regarding new varieties of paddy ?,"FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP,PLS SPRAY 250ML DELTAMETHRIN IN 150LITRE WATER/ACRE."
how to control of weed of sugarcane ?,WEATHER IS CLOUDY 2MM CHANCE OF RAINFALL .
how to control of weed of sugarcane ?,spray of valedamycin 300 ml per acre mix with 150 ltr water
weather of amritsar ?,Spray 200 ml. Indoxacarb or 50 ml. Coragen in 100 lt. of water per acre.
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY.
HOW MANY IRRIGATIONS DO MOONG NEED?,spray of ekalux 500 ml per acre mix with 150-200 ltr water
WHAT IS THE YIELD OF PR 122?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
information regarding new varieties of paddy ?,Mostly clear and no chance of rainfall.
information regarding new varieties of paddy ?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,WEATHER IS CLOUDY NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"FOR THE CONTROL OF JASSID,THRIPS,PYRILLA,GREY WEEVIL & LEAF-FEEDING INSECTS ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 100 ML IMIDACHLORIDE & 80 GM THIMETHOXAM IN 120 LITRE WATER."
for control of bhahbu kutta in barseem?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY
for control of bhahbu kutta in barseem?,WEATHER IS CLEAR AND CHANCES OF RAINFALL TODAY.
WHAT IS THE YIELD OF PR 122?,"FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP,PLS SPRAY 200ML INDOXACARB 15.8%EC(AVANT) IN 100 LITRE WATER OR 50ML CHLORANTRANILIPROLE 18.5%ML(CORAGEN) IN 150LITRE WATER PER ACRE."
varieties of summer moong?,WEATHER IS CLOUDY BUT NO CHANCE OF RAINFALL TODAY.
varieties of paddy ?,"THE FERT. DOSE AT THE TIME OF SEEDLING TRANSPLANTING OF BRINJAL(BAINGAN) IS DAP-55KG,MOP-30KG."
varieties of paddy ?,"FOR GROWTH OF BHINDI SPRAY N,P,K `19;19;19 1KG@130 LTR WATER ."
improved varieties paddy ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
improved varieties paddy ?,DR HARVANT SINGH ADO AMRITSAR 9914149497
CONTROL OF DOWNY MILDEW IN THE ONION ?,weather is clear and no chance of rainfall today
WHAT IS THE YIELD OF PR 121?,"broadcasting 55 kg urea, 75 kg SSP, 20 kg MOP"
information regarding to new varieties of rice,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
information regardingh to seed treatment of sugarcane?,SOME CHANCE OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,SOME CHANCE OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,"THE SUITABLE VARIETIES OF BRINJAL(BAINGAN) IS -ROUND FRIUTED-PUNJAB NEELAM,MAHADEVA,OBLONG FRIUTED-BH-2,NISHA IMPROVED,LONG FRIUTED -PUNJAB SADA BAHAR,KOKILA,SMALL FRUITED-PUNJAB NAGINA."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
information regarding to controll of caterpiller in black gram?,WEATHER REMAINS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER REMAINS CLOUDY BUT SOME CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
WHAT ARE THE NEW VARIETIES OF RICE?,CHANCE OF A LITTLE RAINFALL TODAY.
WHAT IS THE TIME OF PLANTING OF NURSERY?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL .
information regarding chance of rainfall today?,some clouds and some chances of rainfall .
CONTACT NUMBER OF DAIRY IN AMRITSAR?,WEATHER IS CLOUDY AND 4MM CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO CONTROLL OF FRUIT BORER IN TOMATO CROP?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
dropping of flowers?,WEATHER REMAIN CLOUDY AND CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION CHANCE OF RAINFALL TODAY?,WEATHER IS CLOUDY AND LIGHT CHANCES OF RAINFALL TODAY.
how are weather today?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,FOR THE CONTROL OF MAIZE SHOOT FLY IN MAKKA CROP PLS APPLY 5KG FURADAN PER ACER.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
"INFORMATION REGARDING THE CONTAC NO. OF PAU, LUDHIANA.?",WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,SPRAY ROGOR OF 1ML MIX WITH 1LTR WATER
information regarding to control of fruit borer in brinjal,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND CHANCE OF LIGHT CHANCE OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL .
information regarding to contrrol of bihar hairy catterpiller in mungbean,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND CHANCE OF LIGHT CHANCE OF RAINFALL TODAY .
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-124(NEW VARIETY-2015),PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,USE SPRAY ROUND UP 2O0ML IN 15 LITRES OF WATER.
INFORMATION REGARDING THE CONTROL OF BIHARI CATERPILLAR IN BARSEEM.?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL .
information regarding to seed treatment in cotton,BORER IN BARSEEM: SPRAY CORAGEN 50 ML IN 100 LITRES OF WATER
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,Spray 500 gm. Antracol or 600 ml. Curzate in 200 lt. of water per acre.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
NEW VARITY OF RICE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING NEW VARIETIES OF RICE?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING THE CONTACT NO. OF VERKA MILK PLANT,spray coragene @ 40ml mix in 100-120 liters of water / acre .
WHAT IS THE SOWING TIME OF VAEGETABLES?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
flower droping in moong?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,"FOR THE CONTROL OF LEAF/FRUIT EATING CATTERPILLER IN TOMATO CROP,PLS. SPRAY LARVIN(THIODICARB)-250GM/ACRE IN 120LITRE WATER."
INFORMATION REGARDING WEATHER OF AMRITSAR?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLEAR TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
information regarding to varieties of kharif maize,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"FOR THE CONTROL OF WEEDS IN SUMMER MAIZE CROP,PLS APPLY 800GM ATRAZINE IN 150LITRE WATER WITHIN 2 DAYS OF SOWING."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,WEATHER CLOUDY AND NO CHANCES OF RAINFALL TODAY .
